#FriendlyName,FileName,URL,MD5,isZipped
WPILibInstaller_Windows64, WPILibInstaller_Windows64-2020.1.2.zip,https://github.com/wpilibsuite/allwpilib/releases/download/v2020.1.2/WPILibInstaller_Windows64-2020.1.2.zip,7a0ac1199248a2ad85c19119c4bdf8d2,true
WPILibInstaller_Windows32,WPILibInstaller_Windows32-2020.1.2.zip,https://github.com/wpilibsuite/allwpilib/releases/download/v2020.1.2/WPILibInstaller_Windows32-2020.1.2.zip,2a05c9f916acf9fbbe663b0f0c106f47,true
NI-LabVIEW,ni-frc-2020-base-suite_19.0_suite_online_repack.exe,https://download.ni.com/support/nipkg/products/ni-f/ni-frc-2020-base-suite/19.0/online/ni-frc-2020-base-suite_19.0_suite_online_repack.exe,AD3278815ECE779367E661135E01C427,false
NI-Update,ni-frc-2020-game-tools_19.0_online.exe,https://download.ni.com/support/nipkg/products/ni-f/ni-frc-2020-game-tools/19.0/online/ni-frc-2020-game-tools_19.0_online.exe,5556BC52FA84C148481BD13F9428ACB0,false
Password,2020Password.txt,https://raw.githubusercontent.com/JamieSinn/CSA-USB-Tool/master/2020Password.txt,A38D7CB475678BE3910895F56F9D4FD0,false
CTRE-Phoenix-Win,CTRE.Phoenix.Framework.v5.17.3.1.zip,https://github.com/CrossTheRoadElec/Phoenix-Releases/releases/download/v5.17.3.1/CTRE.Phoenix.Framework.v5.17.3.1.zip,D205E80D7DB0A35FE50FB2CD626CBE41,true
#RadioConfigTool,FRC_Radio_Configuration_19_1_1.zip,https://firstfrc.blob.core.windows.net/frc2019/Radio/FRC_Radio_Configuration_19_1_1.zip,1bb18ce8064572e7c3caa455082ae93a,true
#RadioConfigTool Israel,FRC_Radio_Configuration_19_1_1_IL.zip,https://firstfrc.blob.core.windows.net/frc2019/Radio/FRC_Radio_Configuration_19_1_1_IL.zip,ba098694023ae483326cb70cc2df1ea6,true
2020Manual,2020FRCGameSeasonManual.pdf,https://firstfrc.blob.core.windows.net/frc2020/Manual/2020FRCGameSeasonManual.pdf,00000000000000000,false
NavX,navx-mxp.zip,https://www.kauailabs.com/public_files/navx-mxp/navx-mxp.zip,4a2839e34feafb8fc89d22fbfc701ba0,true
VSCode-1.30.1,VSCode-win32.zip,https://vscode-update.azurewebsites.net/1.30.1/win32-archive/stable,c03410ac12386119c165a9b62c1cd3a7,true
VSCode-1.30.1-64,VSCode-win64.zip,https://vscode-update.azurewebsites.net/1.30.1/win32-x64-archive/stable,3eca8fc696b93ae43c87cfc530b1b5d1,true
VSCode-Cpp,VSCode-Cpp.vsix,https://github.com/Microsoft/vscode-cpptools/releases/download/0.21.0/cpptools-win32.vsix,fa79d518b034763f67c381398353d9a2,true
REV-SPARK-MAX,SPARK-MAX-Software-All-CSATool-031219.zip,http://www.revrobotics.com/content/sw/max/SPARK-MAX-Software-All-CSATool-031219.zip,f0d0cdcdc0aded8d9001cb0d6263e0a8,true
DotNet4.6.2,NDP462-KB3151800-x86-x64-AllOS-ENU.exe,https://download.microsoft.com/download/F/9/4/F942F07D-F26F-4F30-B4E3-EBD54FABA377/NDP462-KB3151800-x86-x64-AllOS-ENU.exe,9a5d647ee710af2b1aede329c40bbe1a,false
Python 3.7.2,python-3.7.2.exe,https://www.python.org/ftp/python/3.7.2/python-3.7.2.exe,38156b62c0cbcb03bfddeb86e66c3a0f,false
