#FriendlyName,FileName,URL,MD5,isZipped
PowerPlay_AndroidStudioProj,FtcRobotController.zip,https://github.com/FIRST-Tech-Challenge/FtcRobotController/archive/master.zip,539d24d671e74ba41e51f0e05654fa92,TRUE
PowerPlay_ManualP1,Game-Manual-P1.pdf,https://www.firstinspires.org/sites/default/files/uploads/resource_library/ftc/game-manual-part-1-traditional-events.pdf,854e41af7e21b665a7650088600b78ca,FALSE
PowerPlay_ManualP2,Game-Manual-P2.pdf,https://firstinspiresst01.blob.core.windows.net/first-energize-ftc/game-manual-part-2-traditional.pdf,9891b2728edf6554828847e3d8815032,FALSE
PowerPlay_AndroidStudioGuide,Andriod-Studio-Guide.pdf,https://www.firstinspires.org/sites/default/files/uploads/resource_library/ftc/android-studio-guide.pdf,11f33dee77d3ae88206d4268a7d441ae,FALSE
Robot Controller App,RevHub-8.0-FtcRobotController-release.apk,https://github.com/FIRST-Tech-Challenge/FtcRobotController/releases/download/v8.0/FtcRobotController-release.apk,e4fab8f3898ed3f1e2778dac04a02fd0,FALSE
Driver Station App,RevHub-8.0-FtcDriverStation-release.apk,https://github.com/FIRST-Tech-Challenge/FtcRobotController/releases/download/v8.0/FtcDriverStation-release.apk,82ef0e0ffc1e8e47cc8deb45926247c4,FALSE
REV Hardware Client,REVHardwareClient-1.4.3.exe,https://github.com/REVrobotics/REV-Software-Binaries/releases/download/rhc-1.4.3/REV-Hardware-Client-Setup-1.4.3.exe,e5087116193c934438e1ee05c5a135bf,FALSE
REV Control Hub OS,RevHub-ControlHubOS-1.1.3.zip,https://github.com/REVrobotics/REV-Software-Binaries/releases/download/chos-1.1.3/ControlHubOS-1.1.3.zip,6eb804159f6797f915f53ae909ba0f11,TRUE
REV Driver Hub OS,RevHub-1.2.0-DriverHubOS.zip,https://github.com/REVrobotics/REV-Software-Binaries/releases/download/dhos-1.2.0/DriverHubOS.zip,3a9863f48ee177d41aa6c41b36920fe8,TRUE
REV Expansion/Control Hub Firmware,RevHub-1.8.2-REVHubFirmware_1_08_02.bin,https://www.revrobotics.com/content/sw/REVHubFirmware_1_08_02.bin,980ebc759354054c53c54eff5c82a16f,FALSE
